Series Name,Series Code,Country Name,Country Code,2012 [YR2012]
Population growth (annual %),SP.POP.GROW,Uruguay,URY,0.328587839545291
Population growth (annual %),SP.POP.GROW,Uzbekistan,UZB,1.47209998811321
Population growth (annual %),SP.POP.GROW,Vanuatu,VUT,2.29773030255894
Population growth (annual %),SP.POP.GROW,"Venezuela, RB",VEN,1.43927433973339
Population growth (annual %),SP.POP.GROW,Vietnam,VNM,1.0564445479776
Population growth (annual %),SP.POP.GROW,Virgin Islands (U.S.),VIR,-0.482330520653023
Population growth (annual %),SP.POP.GROW,West Bank and Gaza,WBG,3.00626405051232
Population growth (annual %),SP.POP.GROW,"Yemen, Rep.",YEM,2.63810866883811
Population growth (annual %),SP.POP.GROW,Zambia,ZMB,3.04213897084648
Population growth (annual %),SP.POP.GROW,Zimbabwe,ZWE,2.15052321047874
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/12/2015,,,,
